, Force (Kg f), Efficiency (g/W)
0,-5.035627186666667,7.825794338262722
1,-4.9577605600000005,7.9020729359260455
2,-4.9214732,8.041622875816994
3,-4.84436256,8.163738725985844
4,-4.79446744,8.2549370523416
5,-4.7445723200000005,8.394501627742391
6,-4.68,8.5
7,-4.57674328,8.557859536275243
8,-4.4633452799999995,8.643193803253292
9,-4.40437832,8.752739109697933
10,-4.34994728,8.895597709611451
11,-4.22747744,8.979348853016143
12,-4.15943864,9.010915597920278
13,-4.11861536,9.168778628673195
14,-4.018825120000001,9.289933240869164
15,-3.95532224,9.417433904761905
16,-3.88728344,9.574589753694582
17,-3.8101728,9.695096183206106
18,-3.7103825600000007,9.764164631578948
19,-3.6604874400000003,9.968647712418301
20,-3.55616128,10.017355718309858
21,-3.47905064,10.16671724137931
22,-3.3565807999999997,10.214792452830187
23,-3.288542,10.400196078431373
24,-3.1615362399999998,10.379304793171372
25,-3.12524888,10.601251289009497
26,-3.00277904,10.633070254957508
27,-2.94381208,10.775300439238652
28,-2.87123736,10.859445385779122
29,-2.77598304,10.937679432624115
30,-2.7351597599999997,11.064562135922328
31,-2.67165688,11.122634804329724
32,-2.6036180799999995,11.251590665514259
33,-2.5446511199999997,11.289490328305234
34,-2.4992919199999997,11.528099261992617
35,-2.43578904,11.554976470588237
36,-2.4040376,11.761436399217219
37,-2.3133192,11.838890481064483
38,-2.2634240799999996,12.039489787234041
39,-2.1999212,12.276345982142855
40,-2.1409542399999997,12.447408372093024
41,-2.1092028,12.72136791314837
42,-2.041164,12.968005082592121
43,-1.96858928,13.159019251336895
44,-1.91415824,13.614212233285917
45,-1.8551912799999999,14.054479393939392
46,-1.79622432,14.255748571428573
47,-1.72818552,14.473915577889448
48,-1.6737544800000002,14.682056842105263
49,-1.6374671200000002,15.133707208872458
50,-1.58303608,15.339496899224807
51,-1.5195332,15.568987704918035
52,-1.474174,16.023630434782607
53,-1.4106711200000002,16.365094199535967
54,-1.3743837600000002,16.801757457212716
55,-1.3244886400000002,17.381740682414698
56,-1.2700576000000001,17.73823463687151
57,-1.2201624800000002,18.375940963855427
58,-1.17026736,18.936365048543692
59,-1.1067644800000003,19.082146206896553
60,-1.0659412,19.66681180811808
61,-1.020582,20.743536585365852
62,-0.98883056,21.49631652173913
63,-0.94347136,22.46360380952381
64,-0.9071839999999999,22.679599999999997
65,-0.8754325599999999,23.78892826086956
66,-0.83007336,24.413922352941174
67,-0.78017824,24.53390691823899
68,-0.75296272,25.09875733333333
69,-0.71667536,27.564436923076922
70,-0.68945984,26.723249612403098
71,-0.6577084,27.404516666666666
72,-0.6304928799999999,30.02347047619047
73,-0.5896696,29.483479999999997
74,-0.5579181599999999,31.699895454545448
75,-0.53070264,33.168915
76,-0.50348712,35.96336571428571
77,-0.47173568,33.69540571428571
78,-0.44452016,37.043346666666665
79,-0.41276872,41.276872
80,-0.3855532,38.55532
81,-0.35833767999999994,44.79221
82,-0.32205032,40.25629
83,-0.2948348,49.13913333333333
84,-0.26308336,65.77083999999999
85,-0.23586784,58.96696
86,-0.20411639999999998,51.02909999999999
87,-0.17236496,86.18248
88,-0.14514943999999996,72.57471999999999
89,-0.12246984000000001,61.23492
90,-0.0907184,90.7184
91,-0.07257472,72.57472
92,-0.05443104,54.431039999999996
93,-0.03628736,36.28736
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.05896696,58.96696
109,0.08618248,86.18248
110,0.11339799999999998,113.39799999999998
111,0.14968536000000002,74.84268
112,0.1814368,90.7184
113,0.21318824,106.59412
114,0.24947559999999996,62.36889999999999
115,0.28576296,71.44073999999999
116,0.32205032,80.51258
117,0.36287359999999996,60.47893333333332
118,0.39008912,48.76114
119,0.42637647999999995,53.297059999999995
120,0.46719976,46.719975999999996
121,0.49895119999999993,49.89511999999999
122,0.5352385599999999,44.603213333333336
123,0.57152592,40.82328
124,0.6078132799999999,43.415234285714284
125,0.63956472,39.972795
126,0.66224432,41.39027
127,0.69853168,36.381858333333334
128,0.7393549599999999,36.96774799999999
129,0.78017824,35.462647272727274
130,0.8164656,34.0194
131,0.8618248,33.14710769230769
132,0.88904032,31.75144
133,0.93439952,30.94038145695364
134,0.9752228,30.475712499999997
135,1.020582,28.50787709497207
136,1.06140528,27.931717894736842
137,1.1203722399999998,27.19350097087378
138,1.17026736,26.596985454545457
139,1.22016248,25.741824472573835
140,1.27912944,24.31805019011407
141,1.31088088,23.24256879432624
142,1.37891968,22.531367320261435
143,1.4378866399999999,21.919003658536585
144,1.52860504,21.89978567335243
145,1.5830360799999998,21.277366666666662
146,1.64200304,20.628178894472363
147,1.73725736,20.39034460093897
148,1.8007602399999998,19.616124618736382
149,1.84611944,19.110967287784682
150,1.9186941599999998,18.884785039370076
151,1.98219704,18.38772764378479
152,2.0683795199999997,18.271903886925795
153,2.11827464,17.95148
154,2.1999212,17.7413
155,2.24981632,17.306279384615383
156,2.3269269599999998,16.935421834061135
157,2.43578904,16.683486575342467
158,2.5219715199999997,16.334012435233156
159,2.608154,16.020601965601966
160,2.66258504,15.607180773739742
161,2.76237528,15.484166367713003
162,2.82587816,15.20924736275565
163,2.90752472,14.987240824742267
164,2.9937072,14.968535999999999
165,3.05721008,14.655848897411314
166,3.13432072,14.55116397400186
167,3.2205032,14.480679856115108
168,3.27947016,14.295859459459459
169,3.3565808,14.246947368421054
170,3.44276328,14.075074734260014
171,3.54708944,14.053444690966721
172,3.6423437600000006,14.009014461538463
173,3.7239903200000004,13.823275129918336
174,3.8464601600000004,13.737357714285714
175,3.96439408,13.70813997233748
176,4.10047168,13.604750099535504
177,4.209333760000001,13.456949360613812
178,4.32726768,13.298302642901046
179,4.422522,13.138805704099823
180,4.5540636800000005,13.004179554540261
181,4.6992131200000005,13.002803320420588
182,4.82168296,12.899098341359016
183,4.93054504,12.77343274611399
184,5.02126344,12.565724324324323
185,5.143733280000001,12.466634222006789
186,5.20270024,12.264734181989626
187,5.39320888,12.324517550274225
188,5.520214640000001,12.272598132503337
189,5.62000488,12.112079482758622
190,5.710723280000001,11.997317815126051
191,5.81504944,11.843277881873727
192,5.92844744,11.767462167526796
193,6.059989120000001,11.676279614643546
194,6.128027920000001,11.510195191585275
195,6.25503368,11.352148239564428
196,6.36389576,11.31560412517781
197,6.45915008,11.155699620034541
198,6.5544044,11.019509751176868
199,6.6224432,10.870720945502299
200,6.72223344,10.769937216716604
