, Force (Kg f), PWM (µs)
0,-5.035627186666667,1100
1,-4.9577605600000005,1104
2,-4.9214732,1108
3,-4.84436256,1112
4,-4.79446744,1116
5,-4.7445723200000005,1120
6,-4.68,1124
7,-4.57674328,1128
8,-4.4633452799999995,1132
9,-4.40437832,1136
10,-4.34994728,1140
11,-4.22747744,1144
12,-4.15943864,1148
13,-4.11861536,1152
14,-4.018825120000001,1156
15,-3.95532224,1160
16,-3.88728344,1164
17,-3.8101728,1168
18,-3.7103825600000007,1172
19,-3.6604874400000003,1176
20,-3.55616128,1180
21,-3.47905064,1184
22,-3.3565807999999997,1188
23,-3.288542,1192
24,-3.1615362399999998,1196
25,-3.12524888,1200
26,-3.00277904,1204
27,-2.94381208,1208
28,-2.87123736,1212
29,-2.77598304,1216
30,-2.7351597599999997,1220
31,-2.67165688,1224
32,-2.6036180799999995,1228
33,-2.5446511199999997,1232
34,-2.4992919199999997,1236
35,-2.43578904,1240
36,-2.4040376,1244
37,-2.3133192,1248
38,-2.2634240799999996,1252
39,-2.1999212,1256
40,-2.1409542399999997,1260
41,-2.1092028,1264
42,-2.041164,1268
43,-1.96858928,1272
44,-1.91415824,1276
45,-1.8551912799999999,1280
46,-1.79622432,1284
47,-1.72818552,1288
48,-1.6737544800000002,1292
49,-1.6374671200000002,1296
50,-1.58303608,1300
51,-1.5195332,1304
52,-1.474174,1308
53,-1.4106711200000002,1312
54,-1.3743837600000002,1316
55,-1.3244886400000002,1320
56,-1.2700576000000001,1324
57,-1.2201624800000002,1328
58,-1.17026736,1332
59,-1.1067644800000003,1336
60,-1.0659412,1340
61,-1.020582,1344
62,-0.98883056,1348
63,-0.94347136,1352
64,-0.9071839999999999,1356
65,-0.8754325599999999,1360
66,-0.83007336,1364
67,-0.78017824,1368
68,-0.75296272,1372
69,-0.71667536,1376
70,-0.68945984,1380
71,-0.6577084,1384
72,-0.6304928799999999,1388
73,-0.5896696,1392
74,-0.5579181599999999,1396
75,-0.53070264,1400
76,-0.50348712,1404
77,-0.47173568,1408
78,-0.44452016,1412
79,-0.41276872,1416
80,-0.3855532,1420
81,-0.35833767999999994,1424
82,-0.32205032,1428
83,-0.2948348,1432
84,-0.26308336,1436
85,-0.23586784,1440
86,-0.20411639999999998,1444
87,-0.17236496,1448
88,-0.14514943999999996,1452
89,-0.12246984000000001,1456
90,-0.0907184,1460
91,-0.07257472,1464
92,-0.05443104,1468
93,-0.03628736,1472
94,0.0,1476
95,0.0,1480
96,0.0,1484
97,0.0,1488
98,0.0,1492
99,0.0,1496
100,0.0,1500
101,0.0,1504
102,0.0,1508
103,0.0,1512
104,0.0,1516
105,0.0,1520
106,0.0,1524
107,0.0,1528
108,0.05896696,1532
109,0.08618248,1536
110,0.11339799999999998,1540
111,0.14968536000000002,1544
112,0.1814368,1548
113,0.21318824,1552
114,0.24947559999999996,1556
115,0.28576296,1560
116,0.32205032,1564
117,0.36287359999999996,1568
118,0.39008912,1572
119,0.42637647999999995,1576
120,0.46719976,1580
121,0.49895119999999993,1584
122,0.5352385599999999,1588
123,0.57152592,1592
124,0.6078132799999999,1596
125,0.63956472,1600
126,0.66224432,1604
127,0.69853168,1608
128,0.7393549599999999,1612
129,0.78017824,1616
130,0.8164656,1620
131,0.8618248,1624
132,0.88904032,1628
133,0.93439952,1632
134,0.9752228,1636
135,1.020582,1640
136,1.06140528,1644
137,1.1203722399999998,1648
138,1.17026736,1652
139,1.22016248,1656
140,1.27912944,1660
141,1.31088088,1664
142,1.37891968,1668
143,1.4378866399999999,1672
144,1.52860504,1676
145,1.5830360799999998,1680
146,1.64200304,1684
147,1.73725736,1688
148,1.8007602399999998,1692
149,1.84611944,1696
150,1.9186941599999998,1700
151,1.98219704,1704
152,2.0683795199999997,1708
153,2.11827464,1712
154,2.1999212,1716
155,2.24981632,1720
156,2.3269269599999998,1724
157,2.43578904,1728
158,2.5219715199999997,1732
159,2.608154,1736
160,2.66258504,1740
161,2.76237528,1744
162,2.82587816,1748
163,2.90752472,1752
164,2.9937072,1756
165,3.05721008,1760
166,3.13432072,1764
167,3.2205032,1768
168,3.27947016,1772
169,3.3565808,1776
170,3.44276328,1780
171,3.54708944,1784
172,3.6423437600000006,1788
173,3.7239903200000004,1792
174,3.8464601600000004,1796
175,3.96439408,1800
176,4.10047168,1804
177,4.209333760000001,1808
178,4.32726768,1812
179,4.422522,1816
180,4.5540636800000005,1820
181,4.6992131200000005,1824
182,4.82168296,1828
183,4.93054504,1832
184,5.02126344,1836
185,5.143733280000001,1840
186,5.20270024,1844
187,5.39320888,1848
188,5.520214640000001,1852
189,5.62000488,1856
190,5.710723280000001,1860
191,5.81504944,1864
192,5.92844744,1868
193,6.059989120000001,1872
194,6.128027920000001,1876
195,6.25503368,1880
196,6.36389576,1884
197,6.45915008,1888
198,6.5544044,1892
199,6.6224432,1896
200,6.72223344,1900
