, Force (Kg f), Current (A)
0,-5.035627186666667,32.173333333333325
1,-4.9577605600000005,31.37
2,-4.9214732,30.6
3,-4.84436256,29.67
4,-4.79446744,29.04
5,-4.7445723200000005,28.26
6,-4.68,27.56
7,-4.57674328,26.74
8,-4.4633452799999995,25.82
9,-4.40437832,25.16
10,-4.34994728,24.45
11,-4.22747744,23.54
12,-4.15943864,23.08
13,-4.11861536,22.46
14,-4.018825120000001,21.63
15,-3.95532224,21.0
16,-3.88728344,20.3
17,-3.8101728,19.65
18,-3.7103825600000007,19.0
19,-3.6604874400000003,18.36
20,-3.55616128,17.75
21,-3.47905064,17.11
22,-3.3565807999999997,16.43
23,-3.288542,15.81
24,-3.1615362399999998,15.23
25,-3.12524888,14.74
26,-3.00277904,14.12
27,-2.94381208,13.66
28,-2.87123736,13.22
29,-2.77598304,12.69
30,-2.7351597599999997,12.36
31,-2.67165688,12.01
32,-2.6036180799999995,11.57
33,-2.5446511199999997,11.27
34,-2.4992919199999997,10.84
35,-2.43578904,10.54
36,-2.4040376,10.22
37,-2.3133192,9.77
38,-2.2634240799999996,9.4
39,-2.1999212,8.96
40,-2.1409542399999997,8.6
41,-2.1092028,8.29
42,-2.041164,7.87
43,-1.96858928,7.48
44,-1.91415824,7.03
45,-1.8551912799999999,6.6
46,-1.79622432,6.3
47,-1.72818552,5.97
48,-1.6737544800000002,5.7
49,-1.6374671200000002,5.41
50,-1.58303608,5.16
51,-1.5195332,4.88
52,-1.474174,4.6
53,-1.4106711200000002,4.31
54,-1.3743837600000002,4.09
55,-1.3244886400000002,3.81
56,-1.2700576000000001,3.58
57,-1.2201624800000002,3.32
58,-1.17026736,3.09
59,-1.1067644800000003,2.9
60,-1.0659412,2.71
61,-1.020582,2.46
62,-0.98883056,2.3
63,-0.94347136,2.1
64,-0.9071839999999999,2.0
65,-0.8754325599999999,1.84
66,-0.83007336,1.7
67,-0.78017824,1.59
68,-0.75296272,1.5
69,-0.71667536,1.3
70,-0.68945984,1.29
71,-0.6577084,1.2
72,-0.6304928799999999,1.05
73,-0.5896696,1.0
74,-0.5579181599999999,0.88
75,-0.53070264,0.8
76,-0.50348712,0.7
77,-0.47173568,0.7
78,-0.44452016,0.6
79,-0.41276872,0.5
80,-0.3855532,0.5
81,-0.35833767999999994,0.4
82,-0.32205032,0.4
83,-0.2948348,0.3
84,-0.26308336,0.2
85,-0.23586784,0.2
86,-0.20411639999999998,0.2
87,-0.17236496,0.1
88,-0.14514943999999996,0.1
89,-0.12246984000000001,0.1
90,-0.0907184,0.05
91,-0.07257472,0.05
92,-0.05443104,0.05
93,-0.03628736,0.05
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.05896696,0.05
109,0.08618248,0.05
110,0.11339799999999998,0.05
111,0.14968536000000002,0.1
112,0.1814368,0.1
113,0.21318824,0.1
114,0.24947559999999996,0.2
115,0.28576296,0.2
116,0.32205032,0.2
117,0.36287359999999996,0.3
118,0.39008912,0.4
119,0.42637647999999995,0.4
120,0.46719976,0.5
121,0.49895119999999993,0.5
122,0.5352385599999999,0.6
123,0.57152592,0.7
124,0.6078132799999999,0.7
125,0.63956472,0.8
126,0.66224432,0.8
127,0.69853168,0.96
128,0.7393549599999999,1.0
129,0.78017824,1.1
130,0.8164656,1.2
131,0.8618248,1.3
132,0.88904032,1.4
133,0.93439952,1.51
134,0.9752228,1.6
135,1.020582,1.79
136,1.06140528,1.9
137,1.1203722399999998,2.06
138,1.17026736,2.2
139,1.22016248,2.37
140,1.27912944,2.63
141,1.31088088,2.82
142,1.37891968,3.06
143,1.4378866399999999,3.28
144,1.52860504,3.49
145,1.5830360799999998,3.72
146,1.64200304,3.98
147,1.73725736,4.26
148,1.8007602399999998,4.59
149,1.84611944,4.83
150,1.9186941599999998,5.08
151,1.98219704,5.39
152,2.0683795199999997,5.66
153,2.11827464,5.9
154,2.1999212,6.2
155,2.24981632,6.5
156,2.3269269599999998,6.87
157,2.43578904,7.3
158,2.5219715199999997,7.72
159,2.608154,8.14
160,2.66258504,8.53
161,2.76237528,8.92
162,2.82587816,9.29
163,2.90752472,9.7
164,2.9937072,10.0
165,3.05721008,10.43
166,3.13432072,10.77
167,3.2205032,11.12
168,3.27947016,11.47
169,3.3565808,11.78
170,3.44276328,12.23
171,3.54708944,12.62
172,3.6423437600000006,13.0
173,3.7239903200000004,13.47
174,3.8464601600000004,14.0
175,3.96439408,14.46
176,4.10047168,15.07
177,4.209333760000001,15.64
178,4.32726768,16.27
179,4.422522,16.83
180,4.5540636800000005,17.51
181,4.6992131200000005,18.07
182,4.82168296,18.69
183,4.93054504,19.3
184,5.02126344,19.98
185,5.143733280000001,20.63
186,5.20270024,21.21
187,5.39320888,21.88
188,5.520214640000001,22.49
189,5.62000488,23.2
190,5.710723280000001,23.8
191,5.81504944,24.55
192,5.92844744,25.19
193,6.059989120000001,25.95
194,6.128027920000001,26.62
195,6.25503368,27.55
196,6.36389576,28.12
197,6.45915008,28.95
198,6.5544044,29.74
199,6.6224432,30.46
200,6.72223344,31.208333333333332
