, Force (Kg f), Power (W)
0,-5.035627186666667,643.4666666666667
1,-4.9577605600000005,627.4
2,-4.9214732,612.0
3,-4.84436256,593.4000000000001
4,-4.79446744,580.8
5,-4.7445723200000005,565.2
6,-4.68,551.1999999999999
7,-4.57674328,534.8
8,-4.4633452799999995,516.4
9,-4.40437832,503.2
10,-4.34994728,489.0
11,-4.22747744,470.79999999999995
12,-4.15943864,461.59999999999997
13,-4.11861536,449.20000000000005
14,-4.018825120000001,432.59999999999997
15,-3.95532224,420.0
16,-3.88728344,406.0
17,-3.8101728,393.0
18,-3.7103825600000007,380.0
19,-3.6604874400000003,367.2
20,-3.55616128,355.0
21,-3.47905064,342.2
22,-3.3565807999999997,328.6
23,-3.288542,316.2
24,-3.1615362399999998,304.6
25,-3.12524888,294.8
26,-3.00277904,282.4
27,-2.94381208,273.2
28,-2.87123736,264.40000000000003
29,-2.77598304,253.79999999999998
30,-2.7351597599999997,247.2
31,-2.67165688,240.2
32,-2.6036180799999995,231.4
33,-2.5446511199999997,225.39999999999998
34,-2.4992919199999997,216.8
35,-2.43578904,210.79999999999998
36,-2.4040376,204.4
37,-2.3133192,195.39999999999998
38,-2.2634240799999996,188.0
39,-2.1999212,179.20000000000002
40,-2.1409542399999997,172.0
41,-2.1092028,165.79999999999998
42,-2.041164,157.4
43,-1.96858928,149.60000000000002
44,-1.91415824,140.6
45,-1.8551912799999999,132.0
46,-1.79622432,126.0
47,-1.72818552,119.39999999999999
48,-1.6737544800000002,114.0
49,-1.6374671200000002,108.2
50,-1.58303608,103.2
51,-1.5195332,97.6
52,-1.474174,92.0
53,-1.4106711200000002,86.19999999999999
54,-1.3743837600000002,81.8
55,-1.3244886400000002,76.2
56,-1.2700576000000001,71.6
57,-1.2201624800000002,66.39999999999999
58,-1.17026736,61.8
59,-1.1067644800000003,58.0
60,-1.0659412,54.2
61,-1.020582,49.2
62,-0.98883056,46.0
63,-0.94347136,42.0
64,-0.9071839999999999,40.0
65,-0.8754325599999999,36.800000000000004
66,-0.83007336,34.0
67,-0.78017824,31.8
68,-0.75296272,30.0
69,-0.71667536,26.0
70,-0.68945984,25.8
71,-0.6577084,24.0
72,-0.6304928799999999,21.0
73,-0.5896696,20.0
74,-0.5579181599999999,17.6
75,-0.53070264,16.0
76,-0.50348712,14.0
77,-0.47173568,14.0
78,-0.44452016,12.0
79,-0.41276872,10.0
80,-0.3855532,10.0
81,-0.35833767999999994,8.0
82,-0.32205032,8.0
83,-0.2948348,6.0
84,-0.26308336,4.0
85,-0.23586784,4.0
86,-0.20411639999999998,4.0
87,-0.17236496,2.0
88,-0.14514943999999996,2.0
89,-0.12246984000000001,2.0
90,-0.0907184,1.0
91,-0.07257472,1.0
92,-0.05443104,1.0
93,-0.03628736,1.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.05896696,1.0
109,0.08618248,1.0
110,0.11339799999999998,1.0
111,0.14968536000000002,2.0
112,0.1814368,2.0
113,0.21318824,2.0
114,0.24947559999999996,4.0
115,0.28576296,4.0
116,0.32205032,4.0
117,0.36287359999999996,6.0
118,0.39008912,8.0
119,0.42637647999999995,8.0
120,0.46719976,10.0
121,0.49895119999999993,10.0
122,0.5352385599999999,12.0
123,0.57152592,14.0
124,0.6078132799999999,14.0
125,0.63956472,16.0
126,0.66224432,16.0
127,0.69853168,19.2
128,0.7393549599999999,20.0
129,0.78017824,22.0
130,0.8164656,24.0
131,0.8618248,26.0
132,0.88904032,28.0
133,0.93439952,30.2
134,0.9752228,32.0
135,1.020582,35.8
136,1.06140528,38.0
137,1.1203722399999998,41.2
138,1.17026736,44.0
139,1.22016248,47.400000000000006
140,1.27912944,52.599999999999994
141,1.31088088,56.4
142,1.37891968,61.2
143,1.4378866399999999,65.6
144,1.52860504,69.80000000000001
145,1.5830360799999998,74.4
146,1.64200304,79.6
147,1.73725736,85.19999999999999
148,1.8007602399999998,91.8
149,1.84611944,96.6
150,1.9186941599999998,101.6
151,1.98219704,107.8
152,2.0683795199999997,113.2
153,2.11827464,118.0
154,2.1999212,124.0
