, Force (Kg f), Power (W)
0,-2.309539266666666,136.16666666666666
1,-2.30424736,136.3
2,-2.29517552,134.5
3,-2.28156776,132.0
4,-2.2226008,128.1
5,-2.18177752,125.0
6,-2.1636338399999997,121.4
7,-2.1318824,119.60000000000001
8,-2.1092028000000003,116.30000000000001
9,-2.05477176,113.2
10,-2.041164,110.0
11,-1.9867329599999999,108.0
12,-1.9549815199999998,104.5
13,-1.927766,102.0
14,-1.8914786399999999,99.0
15,-1.8370476,95.60000000000001
16,-1.80983208,92.89999999999999
17,-1.7916884,91.0
18,-1.75540104,88.0
19,-1.7145777599999998,85.0
20,-1.68282632,83.0
21,-1.6510748800000001,80.5
22,-1.6193234399999998,77.1
23,-1.59210792,75.7
24,-1.5558205600000001,73.0
25,-1.53767688,71.0
26,-1.50138952,68.2
27,-1.4696380800000002,66.0
28,-1.44242256,64.80000000000001
29,-1.41067112,62.0
30,-1.360776,60.0
31,-1.3290245600000001,58.0
32,-1.31995272,56.0
33,-1.28820128,54.0
34,-1.25644984,52.0
35,-1.22016248,50.0
36,-1.18841104,48.4
37,-1.1657314399999998,46.4
38,-1.13851592,45.0
39,-1.09769264,43.0
40,-1.07501304,41.0
41,-1.05686936,39.0
42,-1.0160460800000002,37.3
43,-0.98883056,36.0
44,-0.97068688,35.0
45,-0.9298635999999999,33.0
46,-0.907184,32.0
47,-0.8799684799999999,30.0
48,-0.8527529599999999,29.0
49,-0.8255374400000001,28.0
50,-0.79832192,26.0
51,-0.78017824,24.0
52,-0.75296272,23.0
53,-0.72121128,21.0
54,-0.69853168,20.0
55,-0.6713161599999999,19.0
56,-0.6531724799999999,18.0
57,-0.6304928799999999,17.0
58,-0.6123492,16.0
59,-0.58059776,15.0
60,-0.55338224,14.0
61,-0.53070264,13.0
62,-0.5125589599999999,12.0
63,-0.48534344,12.0
64,-0.46719976,11.0
65,-0.44452016,10.0
66,-0.42184056000000003,9.0
67,-0.39916096,8.0
68,-0.38101727999999996,8.0
69,-0.35380176,7.0
70,-0.33565807999999997,7.0
71,-0.31297847999999995,6.0
72,-0.2948348,5.0
73,-0.27669112,5.0
74,-0.24947560000000002,4.0
75,-0.23586784,4.0
76,-0.21318823999999997,4.0
77,-0.19958048,3.0
78,-0.1814368,2.2
79,-0.16329311999999999,2.0
80,-0.15422128000000002,2.0
81,-0.1360776,2.0
82,-0.11793392,2.0
83,-0.09979024,1.0
84,-0.08618248,1.0
85,-0.07257472,1.0
86,-0.06350288000000001,0.5
87,-0.05443104,0.5
88,-0.0453592,0.5
89,-0.031751440000000006,0.5
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.040823279999999997,0.5
112,0.05443104000000001,0.5
113,0.06803880000000001,0.5
114,0.07711064000000001,1.0
115,0.0907184,1.0
116,0.10886208000000001,1.0
117,0.12700576,1.0
118,0.14514944,2.0
119,0.16329311999999999,2.0
120,0.18143679999999998,2.0
121,0.20411639999999998,2.0
122,0.22226008,3.0
123,0.24493968000000002,3.0
124,0.26308336,4.0
125,0.29029888,4.0
126,0.31297847999999995,4.699999999999999
127,0.33565807999999997,5.0
128,0.36287359999999996,5.0
129,0.3855532,6.0
130,0.41276872000000003,7.0
131,0.44452016,7.0
132,0.46719976,8.0
133,0.49441528,8.299999999999999
134,0.5216308,9.399999999999999
135,0.54884632,10.0
136,0.58059776,11.0
137,0.60781328,12.0
138,0.63956472,13.0
139,0.68492392,14.0
140,0.7030676,15.0
141,0.7257472,15.0
142,0.7620345599999999,16.0
143,0.79832192,18.0
144,0.8255374400000001,19.0
145,0.8527529599999999,20.0
146,0.88904032,21.0
147,0.9207917599999998,22.0
148,0.9480072799999999,23.0
149,0.9752228,24.3
150,0.97068688,27.0
151,1.04779752,28.0
152,1.07501304,29.0
153,1.1113004,31.0
154,1.1657314399999998,33.0
155,1.18387512,34.0
156,1.20655472,35.0
157,1.23830616,37.0
158,1.27459352,38.4
159,1.31088088,40.0
160,1.3562400799999998,42.0
161,1.41067112,44.0
162,1.4288148,45.0
163,1.4787099199999998,47.0
164,1.5240691199999998,49.0
165,1.54674872,51.0
166,1.57850016,53.0
167,1.62385936,55.0
168,1.6556108,57.0
169,1.69189816,59.0
170,1.72818552,60.9
171,1.77354472,63.0
172,1.80076024,65.0
173,1.84611944,67.30000000000001
174,1.8778708800000001,69.0
175,1.9141582400000003,71.3
176,1.9912688800000002,74.0
177,1.9958048000000002,76.0
178,2.05930768,79.0
179,2.09105912,81.0
180,2.1228105600000005,83.3
181,2.16816976,86.4
182,2.2135289600000005,88.9
183,2.2724959200000003,91.4
184,2.30424736,94.0
185,2.3632143200000004,97.0
186,2.40857352,100.0
187,2.45393272,102.0
188,2.4811482400000004,105.0
189,2.5537229600000004,107.89999999999999
190,2.5809384800000004,110.39999999999999
191,2.61722584,113.5
192,2.6489772800000004,116.0
193,2.68526464,119.0
194,2.73515976,122.8
195,2.77144712,124.39999999999999
196,2.8213422400000003,128.0
197,2.87577328,131.3
198,2.8939169600000003,134.0
199,2.9165965600000003,136.2
200,2.9256684,135.99999999999997
