, Force (Kg f), Current (A)
0,-2.309539266666666,13.616666666666665
1,-2.30424736,13.63
2,-2.29517552,13.45
3,-2.28156776,13.2
4,-2.2226008,12.81
5,-2.18177752,12.5
6,-2.1636338399999997,12.14
7,-2.1318824,11.96
8,-2.1092028000000003,11.63
9,-2.05477176,11.32
10,-2.041164,11.0
11,-1.9867329599999999,10.8
12,-1.9549815199999998,10.45
13,-1.927766,10.2
14,-1.8914786399999999,9.9
15,-1.8370476,9.56
16,-1.80983208,9.29
17,-1.7916884,9.1
18,-1.75540104,8.8
19,-1.7145777599999998,8.5
20,-1.68282632,8.3
21,-1.6510748800000001,8.05
22,-1.6193234399999998,7.71
23,-1.59210792,7.57
24,-1.5558205600000001,7.3
25,-1.53767688,7.1
26,-1.50138952,6.82
27,-1.4696380800000002,6.6
28,-1.44242256,6.48
29,-1.41067112,6.2
30,-1.360776,6.0
31,-1.3290245600000001,5.8
32,-1.31995272,5.6
33,-1.28820128,5.4
34,-1.25644984,5.2
35,-1.22016248,5.0
36,-1.18841104,4.84
37,-1.1657314399999998,4.64
38,-1.13851592,4.5
39,-1.09769264,4.3
40,-1.07501304,4.1
41,-1.05686936,3.9
42,-1.0160460800000002,3.73
43,-0.98883056,3.6
44,-0.97068688,3.5
45,-0.9298635999999999,3.3
46,-0.907184,3.2
47,-0.8799684799999999,3.0
48,-0.8527529599999999,2.9
49,-0.8255374400000001,2.8
50,-0.79832192,2.6
51,-0.78017824,2.4
52,-0.75296272,2.3
53,-0.72121128,2.1
54,-0.69853168,2.0
55,-0.6713161599999999,1.9
56,-0.6531724799999999,1.8
57,-0.6304928799999999,1.7
58,-0.6123492,1.6
59,-0.58059776,1.5
60,-0.55338224,1.4
61,-0.53070264,1.3
62,-0.5125589599999999,1.2
63,-0.48534344,1.2
64,-0.46719976,1.1
65,-0.44452016,1.0
66,-0.42184056000000003,0.9
67,-0.39916096,0.8
68,-0.38101727999999996,0.8
69,-0.35380176,0.7
70,-0.33565807999999997,0.7
71,-0.31297847999999995,0.6
72,-0.2948348,0.5
73,-0.27669112,0.5
74,-0.24947560000000002,0.4
75,-0.23586784,0.4
76,-0.21318823999999997,0.4
77,-0.19958048,0.3
78,-0.1814368,0.22
79,-0.16329311999999999,0.2
80,-0.15422128000000002,0.2
81,-0.1360776,0.2
82,-0.11793392,0.2
83,-0.09979024,0.1
84,-0.08618248,0.1
85,-0.07257472,0.1
86,-0.06350288000000001,0.05
87,-0.05443104,0.05
88,-0.0453592,0.05
89,-0.031751440000000006,0.05
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.040823279999999997,0.05
112,0.05443104000000001,0.05
113,0.06803880000000001,0.05
114,0.07711064000000001,0.1
115,0.0907184,0.1
116,0.10886208000000001,0.1
117,0.12700576,0.1
118,0.14514944,0.2
119,0.16329311999999999,0.2
120,0.18143679999999998,0.2
121,0.20411639999999998,0.2
122,0.22226008,0.3
123,0.24493968000000002,0.3
124,0.26308336,0.4
125,0.29029888,0.4
126,0.31297847999999995,0.47
127,0.33565807999999997,0.5
128,0.36287359999999996,0.5
129,0.3855532,0.6
130,0.41276872000000003,0.7
131,0.44452016,0.7
132,0.46719976,0.8
133,0.49441528,0.83
134,0.5216308,0.94
135,0.54884632,1.0
136,0.58059776,1.1
137,0.60781328,1.2
138,0.63956472,1.3
139,0.68492392,1.4
140,0.7030676,1.5
141,0.7257472,1.5
142,0.7620345599999999,1.6
143,0.79832192,1.8
144,0.8255374400000001,1.9
145,0.8527529599999999,2.0
146,0.88904032,2.1
147,0.9207917599999998,2.2
148,0.9480072799999999,2.3
149,0.9752228,2.43
150,0.97068688,2.7
151,1.04779752,2.8
152,1.07501304,2.9
153,1.1113004,3.1
154,1.1657314399999998,3.3
155,1.18387512,3.4
156,1.20655472,3.5
157,1.23830616,3.7
158,1.27459352,3.84
159,1.31088088,4.0
160,1.3562400799999998,4.2
161,1.41067112,4.4
162,1.4288148,4.5
163,1.4787099199999998,4.7
164,1.5240691199999998,4.9
165,1.54674872,5.1
166,1.57850016,5.3
167,1.62385936,5.5
168,1.6556108,5.7
169,1.69189816,5.9
170,1.72818552,6.09
171,1.77354472,6.3
172,1.80076024,6.5
173,1.84611944,6.73
174,1.8778708800000001,6.9
175,1.9141582400000003,7.13
176,1.9912688800000002,7.4
177,1.9958048000000002,7.6
178,2.05930768,7.9
179,2.09105912,8.1
180,2.1228105600000005,8.33
181,2.16816976,8.64
182,2.2135289600000005,8.89
183,2.2724959200000003,9.14
184,2.30424736,9.4
185,2.3632143200000004,9.7
186,2.40857352,10.0
187,2.45393272,10.2
188,2.4811482400000004,10.5
189,2.5537229600000004,10.79
190,2.5809384800000004,11.04
191,2.61722584,11.35
192,2.6489772800000004,11.6
193,2.68526464,11.9
194,2.73515976,12.28
195,2.77144712,12.44
196,2.8213422400000003,12.8
197,2.87577328,13.13
198,2.8939169600000003,13.4
199,2.9165965600000003,13.62
200,2.9256684,13.6
