, Force (Kg f), Efficiency (g/W)
0,-2.9037447866666666,14.207466320948669
1,-2.91659656,14.230076893052304
2,-2.89391696,14.389006364359586
3,-2.83041408,14.277714285714286
4,-2.7850548799999997,14.43332752902156
5,-2.76237528,14.671634161886551
6,-2.721552,14.813585891574133
7,-2.67165688,14.84253822222222
8,-2.59908216,14.926959338387318
9,-2.5945462399999997,15.258446483180427
10,-2.5627948000000003,15.45341775205017
11,-2.4947559999999998,15.445492818226843
12,-2.44032496,15.547432212028541
13,-2.43125312,15.82847083333333
14,-2.38589392,16.034233333333333
15,-2.34053472,16.253713333333334
16,-2.30424736,16.46832018296169
17,-2.25435224,16.610317123489537
18,-2.22713672,16.720245645645647
19,-2.18177752,16.928751707014275
20,-2.1409542399999997,16.991700317460317
21,-2.09559504,17.27328585558853
22,-2.0683795199999997,17.516764227642277
23,-2.00941256,17.62642596491228
24,-1.98219704,17.954683333333335
25,-1.94590968,18.220128089887638
26,-1.8824068,18.240375968992254
27,-1.84611944,18.53533574297189
28,-1.80529616,18.80516833333333
29,-1.77808064,19.243296969696967
30,-1.73272144,19.512628828828824
31,-1.6646826399999999,19.538528638497656
32,-1.6510748800000001,19.940517874396132
33,-1.6102516,20.331459595959597
34,-1.56035648,20.31714166666666
35,-1.5331409599999999,20.60673333333333
36,-1.49231768,20.76123650528659
37,-1.4696380800000002,21.225275563258233
38,-1.4378866399999999,21.78616121212121
39,-1.39706336,21.883824561403507
40,-1.36984784,22.08007479045777
41,-1.33356048,22.679599999999997
42,-1.2927372,22.92087234042553
43,-1.27912944,23.37590350877193
44,-1.22016248,23.646559689922483
45,-1.19294696,24.24688943089431
46,-1.15212368,24.61802735042735
47,-1.1158363199999999,24.929319034852547
48,-1.08408488,25.094557407407407
49,-1.0432616,25.570137254901958
50,-1.020582,25.772272727272732
51,-0.9933664799999999,26.703399999999995
52,-0.9616150400000001,26.89080089485459
53,-0.9298635999999999,27.674511904761907
54,-0.90264808,27.859508641975303
55,-0.87089664,30.11399170124481
56,-0.83460928,30.23946666666667
57,-0.793786,31.49944444444444
58,-0.7711064,32.12943333333333
59,-0.7393549599999999,32.42784912280702
60,-0.72121128,33.38941111111111
61,-0.69399576,34.019400000000005
62,-0.6577084,34.255645833333325
63,-0.63956472,35.531373333333335
64,-0.60327736,38.37642239185751
65,-0.57152592,36.63627692307691
66,-0.5443104,37.79933333333334
67,-0.5170948799999999,39.17385454545454
68,-0.49441528,41.20127333333333
69,-0.47173568,43.679229629629624
70,-0.43998423999999997,45.83169166666666
71,-0.41730464,43.46923333333333
72,-0.39008912,46.43918095238096
73,-0.36740952000000004,51.0291
74,-0.340194,56.69899999999999
75,-0.3175144,52.91906666666666
76,-0.2948348,59.925772357723574
77,-0.26761927999999996,55.75401666666666
78,-0.24493968000000002,51.02909999999999
79,-0.226796,62.99888888888889
80,-0.2041164,58.65413793103449
81,-0.17690088,73.7087
