, Force (Kg f), Power (W)
0,-2.9037447866666666,204.38
1,-2.91659656,204.95999999999998
2,-2.89391696,201.12
3,-2.83041408,198.24
4,-2.7850548799999997,192.95999999999998
5,-2.76237528,188.28
6,-2.721552,183.72
7,-2.67165688,180.0
8,-2.59908216,174.12
9,-2.5945462399999997,170.04
10,-2.5627948000000003,165.84
11,-2.4947559999999998,161.52
12,-2.44032496,156.96
13,-2.43125312,153.60000000000002
14,-2.38589392,148.8
15,-2.34053472,144.0
16,-2.30424736,139.92000000000002
17,-2.25435224,135.72
18,-2.22713672,133.2
19,-2.18177752,128.88
20,-2.1409542399999997,126.0
21,-2.09559504,121.32
22,-2.0683795199999997,118.08
23,-2.00941256,114.0
24,-1.98219704,110.39999999999999
25,-1.94590968,106.80000000000001
26,-1.8824068,103.19999999999999
27,-1.84611944,99.60000000000001
28,-1.80529616,96.0
29,-1.77808064,92.4
30,-1.73272144,88.80000000000001
31,-1.6646826399999999,85.19999999999999
32,-1.6510748800000001,82.80000000000001
33,-1.6102516,79.19999999999999
34,-1.56035648,76.80000000000001
35,-1.5331409599999999,74.4
36,-1.49231768,71.88
37,-1.4696380800000002,69.24
38,-1.4378866399999999,66.0
39,-1.39706336,63.84
40,-1.36984784,62.04
41,-1.33356048,58.800000000000004
42,-1.2927372,56.400000000000006
43,-1.27912944,54.72
44,-1.22016248,51.599999999999994
45,-1.19294696,49.199999999999996
46,-1.15212368,46.8
47,-1.1158363199999999,44.76
48,-1.08408488,43.2
49,-1.0432616,40.8
50,-1.020582,39.599999999999994
51,-0.9933664799999999,37.2
52,-0.9616150400000001,35.76
53,-0.9298635999999999,33.599999999999994
54,-0.90264808,32.400000000000006
55,-0.87089664,28.92
56,-0.83460928,27.599999999999998
57,-0.793786,25.200000000000003
58,-0.7711064,24.0
59,-0.7393549599999999,22.799999999999997
60,-0.72121128,21.6
61,-0.69399576,20.4
62,-0.6577084,19.200000000000003
63,-0.63956472,18.0
64,-0.60327736,15.72
65,-0.57152592,15.600000000000001
66,-0.5443104,14.399999999999999
67,-0.5170948799999999,13.200000000000001
68,-0.49441528,12.0
69,-0.47173568,10.8
70,-0.43998423999999997,9.600000000000001
71,-0.41730464,9.600000000000001
72,-0.39008912,8.399999999999999
73,-0.36740952000000004,7.199999999999999
74,-0.340194,6.0
75,-0.3175144,6.0
76,-0.2948348,4.92
77,-0.26761927999999996,4.800000000000001
78,-0.24493968000000002,4.800000000000001
79,-0.226796,3.5999999999999996
80,-0.2041164,3.4799999999999995
81,-0.17690088,2.4000000000000004
82,-0.16329311999999999,2.4000000000000004
83,-0.14514944,2.4000000000000004
84,-0.12246984000000001,1.2000000000000002
85,-0.10886208,1.2000000000000002
86,-0.0907184,1.2000000000000002
87,-0.07257472,0.6000000000000001
88,-0.05896696,0.6000000000000001
89,-0.0453592,0.6000000000000001
90,-0.03628736,0.6000000000000001
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.040823279999999997,0.6000000000000001
111,0.05443104,0.6000000000000001
112,0.07257472,0.6000000000000001
113,0.09525432,1.2000000000000002
114,0.113398,1.2000000000000002
115,0.13154168000000002,1.2000000000000002
116,0.15422128000000002,1.2000000000000002
117,0.17690088,2.4000000000000004
118,0.19958048,2.4000000000000004
119,0.22226008,2.4000000000000004
120,0.25401152000000005,3.5999999999999996
121,0.27669112,3.5999999999999996
122,0.30844256000000003,4.800000000000001
123,0.33112216,4.800000000000001
124,0.36740952000000004,6.0
125,0.39462504,6.0
126,0.42637648,7.199999999999999
127,0.45812792,8.399999999999999
128,0.48987936000000004,8.399999999999999
129,0.5170948799999999,9.600000000000001
130,0.54884632,9.600000000000001
131,0.5896696,12.0
132,0.62595696,12.0
133,0.6531724799999999,13.200000000000001
134,0.68492392,14.399999999999999
135,0.7121394400000001,15.600000000000001
136,0.75749864,16.799999999999997
137,0.78925008,18.0
138,0.83007336,19.200000000000003
139,0.8572888799999999,20.4
140,0.89357624,21.6
141,0.9298635999999999,24.0
142,0.9661509599999999,25.200000000000003
143,1.00243832,26.400000000000002
144,1.0387256799999998,27.599999999999998
145,1.0840848799999998,30.0
146,1.13851592,33.599999999999994
147,1.1611955199999997,34.8
148,1.19748288,36.0
149,1.23377024,38.400000000000006
150,1.27912944,39.599999999999994
151,1.3108808799999998,42.0
152,1.35170416,44.04
153,1.40159928,45.599999999999994
154,1.4333507199999997,48.0
155,1.4832458399999997,50.400000000000006
156,1.5286050399999997,52.800000000000004
157,1.5648924,55.199999999999996
158,1.6329311999999998,57.599999999999994
159,1.67375448,60.0
160,1.7100418399999997,62.400000000000006
161,1.7690088,64.80000000000001
162,1.81890392,68.28
163,1.8461194399999996,69.6
164,1.9050864,72.0
165,1.9232300800000002,75.6
166,1.96405336,78.0
167,2.03209216,80.4
168,2.0865232,84.0
169,2.1318824,86.4
170,2.1772416,90.0
171,2.2362085599999997,93.6
172,2.27249592,96.0
173,2.3314628799999997,99.84
174,2.39950168,103.68
175,2.46300456,106.80000000000001
176,2.5083637599999995,110.88
177,2.5627948,114.0
178,2.6172258399999997,117.84
179,2.6535132,121.68
180,2.7124801599999997,125.39999999999999
181,2.77598304,128.64000000000001
182,2.84402184,133.2
183,2.87123736,135.84
184,2.93020432,139.44
185,3.00731496,144.12
186,3.0436023199999998,148.44
187,3.0844256,151.32
188,3.15700032,156.48
189,3.22503912,161.28
190,3.2613264799999997,164.39999999999998
191,3.3157575199999996,169.32
192,3.3792604,172.8
193,3.4019399999999997,177.12
194,3.4472992,181.56
195,3.5017302399999997,186.24
196,3.56976904,190.44
197,3.63780784,195.60000000000002
198,3.70584664,200.88
199,3.69223888,202.32
200,3.7141624933333337,202.94000000000003
