, Force (Kg f), PWM (µs)
0,-2.9037447866666666,1100
1,-2.91659656,1104
2,-2.89391696,1108
3,-2.83041408,1112
4,-2.7850548799999997,1116
5,-2.76237528,1120
6,-2.721552,1124
7,-2.67165688,1128
8,-2.59908216,1132
9,-2.5945462399999997,1136
10,-2.5627948000000003,1140
11,-2.4947559999999998,1144
12,-2.44032496,1148
13,-2.43125312,1152
14,-2.38589392,1156
15,-2.34053472,1160
16,-2.30424736,1164
17,-2.25435224,1168
18,-2.22713672,1172
19,-2.18177752,1176
20,-2.1409542399999997,1180
21,-2.09559504,1184
22,-2.0683795199999997,1188
23,-2.00941256,1192
24,-1.98219704,1196
25,-1.94590968,1200
26,-1.8824068,1204
27,-1.84611944,1208
28,-1.80529616,1212
29,-1.77808064,1216
30,-1.73272144,1220
31,-1.6646826399999999,1224
32,-1.6510748800000001,1228
33,-1.6102516,1232
34,-1.56035648,1236
35,-1.5331409599999999,1240
36,-1.49231768,1244
37,-1.4696380800000002,1248
38,-1.4378866399999999,1252
39,-1.39706336,1256
40,-1.36984784,1260
41,-1.33356048,1264
42,-1.2927372,1268
43,-1.27912944,1272
44,-1.22016248,1276
45,-1.19294696,1280
46,-1.15212368,1284
47,-1.1158363199999999,1288
48,-1.08408488,1292
49,-1.0432616,1296
50,-1.020582,1300
51,-0.9933664799999999,1304
52,-0.9616150400000001,1308
53,-0.9298635999999999,1312
54,-0.90264808,1316
55,-0.87089664,1320
56,-0.83460928,1324
57,-0.793786,1328
58,-0.7711064,1332
59,-0.7393549599999999,1336
60,-0.72121128,1340
61,-0.69399576,1344
62,-0.6577084,1348
63,-0.63956472,1352
64,-0.60327736,1356
65,-0.57152592,1360
66,-0.5443104,1364
67,-0.5170948799999999,1368
68,-0.49441528,1372
69,-0.47173568,1376
70,-0.43998423999999997,1380
71,-0.41730464,1384
72,-0.39008912,1388
73,-0.36740952000000004,1392
74,-0.340194,1396
75,-0.3175144,1400
76,-0.2948348,1404
77,-0.26761927999999996,1408
78,-0.24493968000000002,1412
79,-0.226796,1416
80,-0.2041164,1420
81,-0.17690088,1424
82,-0.16329311999999999,1428
83,-0.14514944,1432
84,-0.12246984000000001,1436
85,-0.10886208,1440
86,-0.0907184,1444
87,-0.07257472,1448
88,-0.05896696,1452
89,-0.0453592,1456
90,-0.03628736,1460
91,0.0,1464
92,0.0,1468
93,0.0,1472
94,0.0,1476
95,0.0,1480
96,0.0,1484
97,0.0,1488
98,0.0,1492
99,0.0,1496
100,0.0,1500
101,0.0,1504
102,0.0,1508
103,0.0,1512
104,0.0,1516
105,0.0,1520
106,0.0,1524
107,0.0,1528
108,0.0,1532
109,0.0,1536
110,0.040823279999999997,1540
111,0.05443104,1544
112,0.07257472,1548
113,0.09525432,1552
114,0.113398,1556
115,0.13154168000000002,1560
116,0.15422128000000002,1564
117,0.17690088,1568
118,0.19958048,1572
119,0.22226008,1576
120,0.25401152000000005,1580
121,0.27669112,1584
122,0.30844256000000003,1588
123,0.33112216,1592
124,0.36740952000000004,1596
125,0.39462504,1600
126,0.42637648,1604
127,0.45812792,1608
128,0.48987936000000004,1612
129,0.5170948799999999,1616
130,0.54884632,1620
131,0.5896696,1624
132,0.62595696,1628
133,0.6531724799999999,1632
134,0.68492392,1636
135,0.7121394400000001,1640
136,0.75749864,1644
137,0.78925008,1648
138,0.83007336,1652
139,0.8572888799999999,1656
140,0.89357624,1660
141,0.9298635999999999,1664
142,0.9661509599999999,1668
143,1.00243832,1672
144,1.0387256799999998,1676
145,1.0840848799999998,1680
146,1.13851592,1684
147,1.1611955199999997,1688
148,1.19748288,1692
149,1.23377024,1696
150,1.27912944,1700
151,1.3108808799999998,1704
152,1.35170416,1708
153,1.40159928,1712
154,1.4333507199999997,1716
155,1.4832458399999997,1720
156,1.5286050399999997,1724
157,1.5648924,1728
158,1.6329311999999998,1732
159,1.67375448,1736
160,1.7100418399999997,1740
161,1.7690088,1744
162,1.81890392,1748
163,1.8461194399999996,1752
164,1.9050864,1756
165,1.9232300800000002,1760
166,1.96405336,1764
167,2.03209216,1768
168,2.0865232,1772
169,2.1318824,1776
170,2.1772416,1780
171,2.2362085599999997,1784
172,2.27249592,1788
173,2.3314628799999997,1792
174,2.39950168,1796
175,2.46300456,1800
176,2.5083637599999995,1804
177,2.5627948,1808
178,2.6172258399999997,1812
179,2.6535132,1816
180,2.7124801599999997,1820
181,2.77598304,1824
182,2.84402184,1828
183,2.87123736,1832
184,2.93020432,1836
185,3.00731496,1840
186,3.0436023199999998,1844
187,3.0844256,1848
188,3.15700032,1852
189,3.22503912,1856
190,3.2613264799999997,1860
191,3.3157575199999996,1864
192,3.3792604,1868
193,3.4019399999999997,1872
194,3.4472992,1876
195,3.5017302399999997,1880
196,3.56976904,1884
197,3.63780784,1888
198,3.70584664,1892
199,3.69223888,1896
200,3.7141624933333337,1900
