, Force (Kg f), Efficiency (g/W)
0,-4.069476226666667,10.467465673152287
1,-4.05057656,10.418149588477364
2,-4.023361039999999,10.574435029436499
3,-3.96439408,10.656973333333333
4,-3.9008912,10.768803003533568
5,-3.8691397599999995,10.957011101042138
6,-3.82378056,11.136359972041005
7,-3.8011009600000003,11.32358484270734
8,-3.75120584,11.47017441291585
9,-3.7149184799999997,11.667457537688442
10,-3.6559515200000003,11.826965320910974
11,-3.58791272,11.966090981856992
12,-3.5198739199999998,12.14754942020983
13,-3.45183512,12.306885054192811
14,-3.3974040800000003,12.490456176470587
15,-3.3112216,12.580629179331307
16,-3.25225464,12.735959586466164
17,-3.20235952,12.929423126614985
18,-3.1071052,12.963556408544724
19,-3.0390664,13.162969507969509
20,-2.9937072,13.326688034188034
21,-2.9392761600000004,13.557546863468634
22,-2.8621655199999996,13.655369847328242
23,-2.82134224,13.840964678178963
24,-2.77144712,14.08255650406504
25,-2.70794424,14.186631601005868
26,-2.6580491200000003,14.333742018981882
27,-2.5809384800000004,14.40255848214286
28,-2.54918704,14.752239814814812
29,-2.50836376,14.930736666666668
30,-2.45393272,14.933865141187926
31,-2.381358,15.033825757575755
32,-2.35414248,15.48777947368421
33,-2.27703184,15.468966304347825
34,-2.2362085599999997,15.703711797752806
35,-2.19538528,15.954834883720931
36,-2.11827464,16.14538597560976
37,-2.08198728,16.471418354430376
38,-2.02302032,16.702611624834873
39,-1.97766112,17.191073713490958
40,-1.94137376,17.61042960812772
41,-1.8597271999999998,17.799839203675344
42,-1.814368,18.028298887122414
43,-1.76447288,18.379925833333335
44,-1.7009699999999999,18.488804347826086
45,-1.66921856,18.96839272727273
46,-1.6102516,18.988816037735848
47,-1.5558205600000001,19.447757000000003
48,-1.51499728,19.72652708333333
49,-1.4877817599999998,20.21442608695652
50,-1.4378866399999999,20.424526136363635
51,-1.39706336,20.78963333333333
52,-1.34716824,21.155280150753768
53,-1.30180904,21.99001756756757
54,-1.25644984,21.935227653631284
55,-1.2020188,22.16111356932153
56,-1.16119552,22.679599999999997
57,-1.12037224,23.341088333333335
58,-1.1022285600000001,24.256790492957748
59,-1.05233344,24.359570370370367
60,-1.020582,26.57765625
61,-0.9797587200000001,26.623878260869567
62,-0.94347136,28.07950476190476
63,-0.90264808,28.207752499999998
64,-0.87089664,28.647915789473682
65,-0.82100152,30.183879411764707
66,-0.7847141599999999,30.652896875
67,-0.7438908799999999,30.99545333333333
68,-0.71667536,31.994435714285714
69,-0.680388,32.71096153846153
70,-0.6486365599999999,33.78315416666666
71,-0.6168851200000001,35.05029090909091
72,-0.58059776,36.28736
73,-0.53977448,37.484338888888885
74,-0.5125589599999999,40.043668749999995
75,-0.48080752000000004,42.92924285714286
76,-0.44452016,42.09471212121212
77,-0.41730464,46.57417857142857
78,-0.3855532,48.19415
79,-0.35380176,55.281524999999995
80,-0.32205032,50.320362499999995
81,-0.2948348,49.803175675675675
82,-0.25854743999999996,53.86405
83,-0.23586784,73.7087
84,-0.20865232,65.20385
85,-0.1814368,56.699
86,-0.14968536000000002,93.55335
87,-0.12700576000000002,79.3786
88,-0.10432616,65.20385
89,-0.08618248,107.7281
90,-0.0680388,85.04849999999999
91,-0.04989512,62.3689
92,-0.03628736,45.359199999999994
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.040823279999999997,51.02909999999999
109,0.05443104000000001,68.0388
110,0.07711064000000001,96.3883
111,0.09979024,124.7378
112,0.12700576,79.37859999999998
