, Force (Kg f), Current (A)
0,-4.069476226666667,24.298333333333332
1,-4.05057656,24.3
2,-4.023361039999999,23.78
3,-3.96439408,23.25
4,-3.9008912,22.64
5,-3.8691397599999995,22.07
6,-3.82378056,21.46
7,-3.8011009600000003,20.98
8,-3.75120584,20.44
9,-3.7149184799999997,19.9
10,-3.6559515200000003,19.32
11,-3.58791272,18.74
12,-3.5198739199999998,18.11
13,-3.45183512,17.53
14,-3.3974040800000003,17.0
15,-3.3112216,16.45
16,-3.25225464,15.96
17,-3.20235952,15.48
18,-3.1071052,14.98
19,-3.0390664,14.43
20,-2.9937072,14.04
21,-2.9392761600000004,13.55
22,-2.8621655199999996,13.1
23,-2.82134224,12.74
24,-2.77144712,12.3
25,-2.70794424,11.93
26,-2.6580491200000003,11.59
27,-2.5809384800000004,11.2
28,-2.54918704,10.8
29,-2.50836376,10.5
30,-2.45393272,10.27
31,-2.381358,9.9
32,-2.35414248,9.5
33,-2.27703184,9.2
34,-2.2362085599999997,8.9
35,-2.19538528,8.6
36,-2.11827464,8.2
37,-2.08198728,7.9
38,-2.02302032,7.57
39,-1.97766112,7.19
40,-1.94137376,6.89
41,-1.8597271999999998,6.53
42,-1.814368,6.29
43,-1.76447288,6.0
44,-1.7009699999999999,5.75
45,-1.66921856,5.5
46,-1.6102516,5.3
47,-1.5558205600000001,5.0
48,-1.51499728,4.8
49,-1.4877817599999998,4.6
50,-1.4378866399999999,4.4
51,-1.39706336,4.2
52,-1.34716824,3.98
53,-1.30180904,3.7
54,-1.25644984,3.58
55,-1.2020188,3.39
56,-1.16119552,3.2
57,-1.12037224,3.0
58,-1.1022285600000001,2.84
59,-1.05233344,2.7
60,-1.020582,2.4
61,-0.9797587200000001,2.3
62,-0.94347136,2.1
63,-0.90264808,2.0
64,-0.87089664,1.9
65,-0.82100152,1.7
66,-0.7847141599999999,1.6
67,-0.7438908799999999,1.5
68,-0.71667536,1.4
69,-0.680388,1.3
70,-0.6486365599999999,1.2
71,-0.6168851200000001,1.1
72,-0.58059776,1.0
73,-0.53977448,0.9
74,-0.5125589599999999,0.8
75,-0.48080752000000004,0.7
76,-0.44452016,0.66
77,-0.41730464,0.56
78,-0.3855532,0.5
79,-0.35380176,0.4
80,-0.32205032,0.4
81,-0.2948348,0.37
82,-0.25854743999999996,0.3
83,-0.23586784,0.2
84,-0.20865232,0.2
85,-0.1814368,0.2
86,-0.14968536000000002,0.1
87,-0.12700576000000002,0.1
88,-0.10432616,0.1
89,-0.08618248,0.05
90,-0.0680388,0.05
91,-0.04989512,0.05
92,-0.03628736,0.05
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.040823279999999997,0.05
109,0.05443104000000001,0.05
110,0.07711064000000001,0.05
111,0.09979024,0.05
112,0.12700576,0.1
113,0.15422128,0.1
114,0.18143679999999998,0.1
115,0.21772416,0.2
116,0.24947559999999996,0.2
117,0.29029888,0.2
118,0.32205032,0.3
119,0.35833768,0.4
120,0.39916096,0.4
121,0.43544832,0.5
122,0.47173568,0.5
123,0.5125589599999999,0.6
124,0.5579181599999999,0.7
125,0.60327736,0.8
126,0.63956472,0.8
127,0.680388,0.9
128,0.72121128,1.0
129,0.77564232,1.1
130,0.8164656,1.2
131,0.87089664,1.3
132,0.907184,1.45
133,0.9480072799999999,1.5
134,0.9933664799999999,1.6
135,1.0341897599999998,1.8
136,1.09769264,2.0
137,1.14305184,2.1
138,1.18387512,2.2
139,1.23830616,2.4
140,1.27912944,2.6
141,1.3290245600000001,2.8
142,1.38799152,2.9
143,1.4378866399999999,3.1
144,1.48324584,3.3
145,1.53767688,3.5
146,1.587572,3.7
147,1.6510748800000001,3.9
148,1.69189816,4.1
149,1.7599369599999999,4.3
150,1.8234398400000003,4.58
151,1.8778708800000001,4.7
152,1.9323019200000002,5.0
153,1.9912688800000002,5.2
154,2.04569992,5.42
155,2.1228105600000005,5.69
156,2.1772416000000003,5.9
157,2.21806488,6.19
158,2.2770318400000003,6.4
159,2.381358,6.7
160,2.43125312,7.0
161,2.5174356,7.4
162,2.5764025600000005,7.7
163,2.6535132000000003,8.04
164,2.7306238400000002,8.4
165,2.75783936,8.7
166,2.8394859200000004,9.03
167,2.88938104,9.34
168,2.97556352,9.69
169,3.05267416,10.01
170,3.1071052000000003,10.4
171,3.17060808,10.68
172,3.21596728,10.9
173,3.3021497600000003,11.3
174,3.3747244800000002,11.64
175,3.42008368,11.93
176,3.51080208,12.38
177,3.6060564,12.79
178,3.6831670400000003,13.14
179,3.73759808,13.54
180,3.81924464,13.99
181,3.88728344,14.46
182,3.95532224,14.86
183,4.0596484,15.4
184,4.14583088,15.86
185,4.254692960000001,16.41
186,4.30458808,16.97
187,4.38169872,17.42
188,4.5087044800000005,18.0
189,4.52684816,18.5
190,4.649318,19.13
191,4.70828496,19.59
192,4.7853956,20.15
193,4.83529072,20.67
194,4.93054504,21.13
195,5.0121916,21.8
196,5.07569448,22.38
197,5.14373328,22.81
198,5.17548472,23.28
199,5.22084392,23.9
200,5.245035493333333,23.83
