, Force (Kg f), PWM (µs)
0,-4.069476226666667,1100
1,-4.05057656,1104
2,-4.023361039999999,1108
3,-3.96439408,1112
4,-3.9008912,1116
5,-3.8691397599999995,1120
6,-3.82378056,1124
7,-3.8011009600000003,1128
8,-3.75120584,1132
9,-3.7149184799999997,1136
10,-3.6559515200000003,1140
11,-3.58791272,1144
12,-3.5198739199999998,1148
13,-3.45183512,1152
14,-3.3974040800000003,1156
15,-3.3112216,1160
16,-3.25225464,1164
17,-3.20235952,1168
18,-3.1071052,1172
19,-3.0390664,1176
20,-2.9937072,1180
21,-2.9392761600000004,1184
22,-2.8621655199999996,1188
23,-2.82134224,1192
24,-2.77144712,1196
25,-2.70794424,1200
26,-2.6580491200000003,1204
27,-2.5809384800000004,1208
28,-2.54918704,1212
29,-2.50836376,1216
30,-2.45393272,1220
31,-2.381358,1224
32,-2.35414248,1228
33,-2.27703184,1232
34,-2.2362085599999997,1236
35,-2.19538528,1240
36,-2.11827464,1244
37,-2.08198728,1248
38,-2.02302032,1252
39,-1.97766112,1256
40,-1.94137376,1260
41,-1.8597271999999998,1264
42,-1.814368,1268
43,-1.76447288,1272
44,-1.7009699999999999,1276
45,-1.66921856,1280
46,-1.6102516,1284
47,-1.5558205600000001,1288
48,-1.51499728,1292
49,-1.4877817599999998,1296
50,-1.4378866399999999,1300
51,-1.39706336,1304
52,-1.34716824,1308
53,-1.30180904,1312
54,-1.25644984,1316
55,-1.2020188,1320
56,-1.16119552,1324
57,-1.12037224,1328
58,-1.1022285600000001,1332
59,-1.05233344,1336
60,-1.020582,1340
61,-0.9797587200000001,1344
62,-0.94347136,1348
63,-0.90264808,1352
64,-0.87089664,1356
65,-0.82100152,1360
66,-0.7847141599999999,1364
67,-0.7438908799999999,1368
68,-0.71667536,1372
69,-0.680388,1376
70,-0.6486365599999999,1380
71,-0.6168851200000001,1384
72,-0.58059776,1388
73,-0.53977448,1392
74,-0.5125589599999999,1396
75,-0.48080752000000004,1400
76,-0.44452016,1404
77,-0.41730464,1408
78,-0.3855532,1412
79,-0.35380176,1416
80,-0.32205032,1420
81,-0.2948348,1424
82,-0.25854743999999996,1428
83,-0.23586784,1432
84,-0.20865232,1436
85,-0.1814368,1440
86,-0.14968536000000002,1444
87,-0.12700576000000002,1448
88,-0.10432616,1452
89,-0.08618248,1456
90,-0.0680388,1460
91,-0.04989512,1464
92,-0.03628736,1468
93,0.0,1472
94,0.0,1476
95,0.0,1480
96,0.0,1484
97,0.0,1488
98,0.0,1492
99,0.0,1496
100,0.0,1500
101,0.0,1504
102,0.0,1508
103,0.0,1512
104,0.0,1516
105,0.0,1520
106,0.0,1524
107,0.0,1528
108,0.040823279999999997,1532
109,0.05443104000000001,1536
110,0.07711064000000001,1540
111,0.09979024,1544
112,0.12700576,1548
113,0.15422128,1552
114,0.18143679999999998,1556
115,0.21772416,1560
116,0.24947559999999996,1564
117,0.29029888,1568
118,0.32205032,1572
119,0.35833768,1576
120,0.39916096,1580
121,0.43544832,1584
122,0.47173568,1588
123,0.5125589599999999,1592
124,0.5579181599999999,1596
125,0.60327736,1600
126,0.63956472,1604
127,0.680388,1608
128,0.72121128,1612
129,0.77564232,1616
130,0.8164656,1620
131,0.87089664,1624
132,0.907184,1628
133,0.9480072799999999,1632
134,0.9933664799999999,1636
135,1.0341897599999998,1640
136,1.09769264,1644
137,1.14305184,1648
138,1.18387512,1652
139,1.23830616,1656
140,1.27912944,1660
141,1.3290245600000001,1664
142,1.38799152,1668
143,1.4378866399999999,1672
144,1.48324584,1676
145,1.53767688,1680
146,1.587572,1684
147,1.6510748800000001,1688
148,1.69189816,1692
149,1.7599369599999999,1696
150,1.8234398400000003,1700
151,1.8778708800000001,1704
152,1.9323019200000002,1708
153,1.9912688800000002,1712
154,2.04569992,1716
155,2.1228105600000005,1720
156,2.1772416000000003,1724
157,2.21806488,1728
158,2.2770318400000003,1732
159,2.381358,1736
160,2.43125312,1740
161,2.5174356,1744
162,2.5764025600000005,1748
163,2.6535132000000003,1752
164,2.7306238400000002,1756
165,2.75783936,1760
166,2.8394859200000004,1764
167,2.88938104,1768
168,2.97556352,1772
169,3.05267416,1776
170,3.1071052000000003,1780
171,3.17060808,1784
172,3.21596728,1788
173,3.3021497600000003,1792
174,3.3747244800000002,1796
175,3.42008368,1800
176,3.51080208,1804
177,3.6060564,1808
178,3.6831670400000003,1812
179,3.73759808,1816
180,3.81924464,1820
181,3.88728344,1824
182,3.95532224,1828
183,4.0596484,1832
184,4.14583088,1836
185,4.254692960000001,1840
186,4.30458808,1844
187,4.38169872,1848
188,4.5087044800000005,1852
189,4.52684816,1856
190,4.649318,1860
191,4.70828496,1864
192,4.7853956,1868
193,4.83529072,1872
194,4.93054504,1876
195,5.0121916,1880
196,5.07569448,1884
197,5.14373328,1888
198,5.17548472,1892
199,5.22084392,1896
200,5.245035493333333,1900
