, Force (Kg f), Current (A)
0,-3.5168499733333336,20.706666666666667
1,-3.4971943199999997,20.63
2,-3.4926584,20.47
3,-3.4518351199999997,19.9
4,-3.4019399999999997,19.45
5,-3.3565807999999997,18.96
6,-3.29307792,18.39
7,-3.24771872,18.0
8,-3.1887517599999997,17.37
9,-3.1388566399999998,16.96
10,-3.09803336,16.54
11,-3.0572100799999995,16.04
12,-3.00277904,15.64
13,-2.93927616,15.19
14,-2.8848451199999996,14.71
15,-2.84855776,14.33
16,-2.7805189599999998,13.93
17,-2.76237528,13.57
18,-2.6898005599999997,13.1
19,-2.64444136,12.7
20,-2.5945462399999997,12.4
21,-2.5265074399999996,11.9
22,-2.49022008,11.6
23,-2.45393272,11.3
24,-2.4085735199999996,11.0
25,-2.34960656,10.6
26,-2.3359987999999996,10.36
27,-2.2588881599999997,9.93
28,-2.20445712,9.67
29,-2.1772416,9.33
30,-2.11827464,9.0
31,-2.0547717599999995,8.7
32,-2.02755624,8.4
33,-1.9867329599999999,8.0
34,-1.90962232,7.7
35,-1.8914786399999999,7.4
36,-1.81890392,7.04
37,-1.76447288,6.8
38,-1.71911368,6.5
39,-1.6828263200000002,6.29
40,-1.6329312,6.0
41,-1.57850016,5.77
42,-1.5648924,5.5
43,-1.5195332,5.34
44,-1.47870992,5.1
45,-1.44242256,4.9
46,-1.4015992800000001,4.7
47,-1.36984784,4.5
48,-1.3244886400000002,4.29
49,-1.28366536,4.1
50,-1.23830616,3.9
51,-1.1929469600000002,3.7
52,-1.16573144,3.5
53,-1.12490816,3.3
54,-1.0886208000000002,3.2
55,-1.0523334400000002,3.0
56,-1.0160460800000002,2.9
57,-0.9842946400000001,2.7
58,-0.9525432,2.5
59,-0.91625584,2.3
60,-0.8845044,2.2
61,-0.84821704,2.0
62,-0.80739376,1.9
63,-0.7665704799999999,1.7
64,-0.7393549599999999,1.6
65,-0.7030676,1.5
66,-0.680388,1.4
67,-0.6486365599999999,1.3
68,-0.62142104,1.2
69,-0.58513368,1.1
70,-0.54884632,1.0
71,-0.5170948799999999,0.9
72,-0.48987936000000004,0.8
73,-0.46266384,0.8
74,-0.42637647999999995,0.7
75,-0.39916096,0.6
76,-0.37194543999999996,0.5
77,-0.34926584,0.5
78,-0.3175144,0.4
79,-0.28576296,0.4
80,-0.25854743999999996,0.3
81,-0.23586784,0.3
82,-0.20865231999999997,0.2
83,-0.18597272,0.2
84,-0.16329311999999999,0.2
85,-0.14514943999999996,0.11
86,-0.12246984000000001,0.1
87,-0.09979024,0.1
88,-0.08164655999999999,0.05
89,-0.0680388,0.05
90,-0.0453592,0.05
91,-0.031751440000000006,0.05
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.045359199999999995,0.05
110,0.06350288000000001,0.05
111,0.08164656,0.05
112,0.09979024,0.01
113,0.12246983999999998,0.1
114,0.14514944,0.1
115,0.17690087999999998,0.13
116,0.19958048,0.2
117,0.226796,0.2
118,0.26308336,0.2
119,0.29029888,0.3
120,0.32658623999999997,0.4
121,0.36287359999999996,0.4
122,0.39462504,0.44
123,0.42637647999999995,0.5
124,0.46266384,0.6
125,0.49895120000000004,0.7
126,0.53070264,0.7
127,0.57606184,0.8
128,0.62142104,0.9
129,0.64410064,1.0
130,0.68945984,1.0
131,0.7257472,1.18
132,0.7665704799999999,1.3
133,0.8255374400000001,1.34
134,0.84821704,1.5
135,0.88904032,1.6
136,0.9207917599999998,1.7
137,0.9661509599999999,1.8
138,0.9979024000000001,1.9
139,1.05233344,2.1
140,1.09315672,2.2
141,1.14305184,2.3
142,1.2020188,2.56
143,1.2337702400000001,2.8
144,1.27912944,2.9
145,1.32448864,3.1
146,1.36531192,3.2
147,1.4061352,3.4
148,1.4605662400000001,3.57
149,1.51046136,3.7
150,1.55128464,3.9
151,1.60571568,4.1
152,1.6510748800000001,4.31
153,1.71004184,4.51
154,1.7599369599999999,4.79
155,1.8143679999999998,5.0
156,1.85065536,5.2
157,1.9096223200000004,5.4
158,1.96405336,5.6
159,2.0048766400000004,5.8
160,2.0865232000000002,6.1
161,2.1182746400000005,6.3
162,2.1590979200000002,6.57
163,2.2452804,6.8
164,2.26796,7.1
165,2.34053472,7.4
166,2.4267172,7.74
167,2.50382784,8.09
168,2.5627948000000003,8.4
169,2.6353695200000002,8.7
170,2.6580491200000003,8.95
171,2.75783936,9.39
172,2.78051896,9.6
173,2.8803092,10.0
174,2.9347402400000004,10.3
175,2.9937072000000002,10.6
176,3.04813824,10.86
177,3.1297848,11.29
178,3.18875176,11.57
179,3.23411096,11.9
180,3.32482936,12.3
181,3.36111672,12.6
182,3.42008368,12.95
183,3.4926584,13.37
184,3.5652331200000003,13.72
185,3.62420008,14.14
186,3.68770296,14.5
187,3.76934952,14.96
188,3.8373883200000005,15.36
189,3.9235708000000002,15.89
190,3.9825377600000005,16.24
191,4.0278969600000005,16.72
192,4.10954352,17.18
193,4.15490272,17.65
194,4.21386968,18.08
195,4.30458808,18.63
196,4.38169872,19.08
197,4.422522,19.56
198,4.5087044800000005,20.07
199,4.52684816,20.29
200,4.5238242133333335,20.356666666666666
