, Force (Kg f), Power (W)
0,-3.5168499733333336,289.8933333333334
1,-3.4971943199999997,288.82
2,-3.4926584,286.58
3,-3.4518351199999997,278.59999999999997
4,-3.4019399999999997,272.3
5,-3.3565807999999997,265.44
6,-3.29307792,257.46000000000004
7,-3.24771872,252.0
8,-3.1887517599999997,243.18
9,-3.1388566399999998,237.44
10,-3.09803336,231.56
11,-3.0572100799999995,224.56
12,-3.00277904,218.96
13,-2.93927616,212.66
14,-2.8848451199999996,205.94
15,-2.84855776,200.62
16,-2.7805189599999998,195.01999999999998
17,-2.76237528,189.98000000000002
18,-2.6898005599999997,183.4
19,-2.64444136,177.79999999999998
20,-2.5945462399999997,173.6
21,-2.5265074399999996,166.6
22,-2.49022008,162.4
23,-2.45393272,158.20000000000002
24,-2.4085735199999996,154.0
25,-2.34960656,148.4
26,-2.3359987999999996,145.04
27,-2.2588881599999997,139.01999999999998
28,-2.20445712,135.38
29,-2.1772416,130.62
30,-2.11827464,126.0
31,-2.0547717599999995,121.79999999999998
32,-2.02755624,117.60000000000001
33,-1.9867329599999999,112.0
34,-1.90962232,107.8
35,-1.8914786399999999,103.60000000000001
36,-1.81890392,98.56
37,-1.76447288,95.2
38,-1.71911368,91.0
39,-1.6828263200000002,88.06
40,-1.6329312,84.0
41,-1.57850016,80.78
42,-1.5648924,77.0
43,-1.5195332,74.75999999999999
44,-1.47870992,71.39999999999999
45,-1.44242256,68.60000000000001
46,-1.4015992800000001,65.8
47,-1.36984784,63.0
48,-1.3244886400000002,60.06
49,-1.28366536,57.39999999999999
50,-1.23830616,54.6
51,-1.1929469600000002,51.800000000000004
52,-1.16573144,49.0
53,-1.12490816,46.199999999999996
54,-1.0886208000000002,44.800000000000004
55,-1.0523334400000002,42.0
56,-1.0160460800000002,40.6
57,-0.9842946400000001,37.800000000000004
58,-0.9525432,35.0
59,-0.91625584,32.199999999999996
60,-0.8845044,30.800000000000004
61,-0.84821704,28.0
62,-0.80739376,26.599999999999998
63,-0.7665704799999999,23.8
64,-0.7393549599999999,22.400000000000002
65,-0.7030676,21.0
66,-0.680388,19.599999999999998
67,-0.6486365599999999,18.2
68,-0.62142104,16.8
69,-0.58513368,15.400000000000002
70,-0.54884632,14.0
71,-0.5170948799999999,12.6
72,-0.48987936000000004,11.200000000000001
73,-0.46266384,11.200000000000001
74,-0.42637647999999995,9.799999999999999
75,-0.39916096,8.4
76,-0.37194543999999996,7.0
77,-0.34926584,7.0
78,-0.3175144,5.6000000000000005
79,-0.28576296,5.6000000000000005
80,-0.25854743999999996,4.2
81,-0.23586784,4.2
82,-0.20865231999999997,2.8000000000000003
83,-0.18597272,2.8000000000000003
84,-0.16329311999999999,2.8000000000000003
85,-0.14514943999999996,1.54
86,-0.12246984000000001,1.4000000000000001
87,-0.09979024,1.4000000000000001
88,-0.08164655999999999,0.7000000000000001
89,-0.0680388,0.7000000000000001
90,-0.0453592,0.7000000000000001
91,-0.031751440000000006,0.7000000000000001
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.045359199999999995,0.7000000000000001
110,0.06350288000000001,0.7000000000000001
111,0.08164656,0.7000000000000001
112,0.09979024,1.4
113,0.12246983999999998,1.4000000000000001
114,0.14514944,1.4000000000000001
115,0.17690087999999998,1.82
116,0.19958048,2.8000000000000003
117,0.226796,2.8000000000000003
118,0.26308336,2.8000000000000003
119,0.29029888,4.2
120,0.32658623999999997,5.6000000000000005
121,0.36287359999999996,5.6000000000000005
122,0.39462504,6.16
123,0.42637647999999995,7.0
124,0.46266384,8.4
125,0.49895120000000004,9.799999999999999
126,0.53070264,9.799999999999999
127,0.57606184,11.200000000000001
128,0.62142104,12.6
129,0.64410064,14.0
130,0.68945984,14.0
131,0.7257472,16.52
132,0.7665704799999999,18.2
133,0.8255374400000001,18.76
134,0.84821704,21.0
135,0.88904032,22.400000000000002
136,0.9207917599999998,23.8
137,0.9661509599999999,25.2
138,0.9979024000000001,26.599999999999998
139,1.05233344,29.400000000000002
140,1.09315672,30.800000000000004
141,1.14305184,32.199999999999996
142,1.2020188,35.84
143,1.2337702400000001,39.199999999999996
144,1.27912944,40.6
145,1.32448864,43.4
146,1.36531192,44.800000000000004
147,1.4061352,47.6
148,1.4605662400000001,49.98
149,1.51046136,51.800000000000004
150,1.55128464,54.6
151,1.60571568,57.39999999999999
152,1.6510748800000001,60.339999999999996
153,1.71004184,63.14
154,1.7599369599999999,67.06
155,1.8143679999999998,70.0
156,1.85065536,72.8
157,1.9096223200000004,75.60000000000001
158,1.96405336,78.39999999999999
159,2.0048766400000004,81.2
160,2.0865232000000002,85.39999999999999
161,2.1182746400000005,88.2
162,2.1590979200000002,91.98
163,2.2452804,95.2
164,2.26796,99.39999999999999
165,2.34053472,103.60000000000001
166,2.4267172,108.36
167,2.50382784,113.25999999999999
168,2.5627948000000003,117.60000000000001
169,2.6353695200000002,121.79999999999998
170,2.6580491200000003,125.29999999999998
171,2.75783936,131.46
172,2.78051896,134.4
173,2.8803092,140.0
174,2.9347402400000004,144.20000000000002
175,2.9937072000000002,148.4
176,3.04813824,152.04
177,3.1297848,158.06
178,3.18875176,161.98000000000002
179,3.23411096,166.6
180,3.32482936,172.20000000000002
181,3.36111672,176.4
182,3.42008368,181.29999999999998
183,3.4926584,187.17999999999998
184,3.5652331200000003,192.08
185,3.62420008,197.96
186,3.68770296,203.0
187,3.76934952,209.44
188,3.8373883200000005,215.04
189,3.9235708000000002,222.46
190,3.9825377600000005,227.35999999999999
191,4.0278969600000005,234.07999999999998
192,4.10954352,240.51999999999998
193,4.15490272,247.09999999999997
194,4.21386968,253.11999999999998
195,4.30458808,260.82
196,4.38169872,267.12
197,4.422522,273.84
198,4.5087044800000005,280.98
199,4.52684816,284.06
200,4.5238242133333335,284.99333333333334
