, Force (Kg f), PWM (µs)
0,-3.5168499733333336,1100
1,-3.4971943199999997,1104
2,-3.4926584,1108
3,-3.4518351199999997,1112
4,-3.4019399999999997,1116
5,-3.3565807999999997,1120
6,-3.29307792,1124
7,-3.24771872,1128
8,-3.1887517599999997,1132
9,-3.1388566399999998,1136
10,-3.09803336,1140
11,-3.0572100799999995,1144
12,-3.00277904,1148
13,-2.93927616,1152
14,-2.8848451199999996,1156
15,-2.84855776,1160
16,-2.7805189599999998,1164
17,-2.76237528,1168
18,-2.6898005599999997,1172
19,-2.64444136,1176
20,-2.5945462399999997,1180
21,-2.5265074399999996,1184
22,-2.49022008,1188
23,-2.45393272,1192
24,-2.4085735199999996,1196
25,-2.34960656,1200
26,-2.3359987999999996,1204
27,-2.2588881599999997,1208
28,-2.20445712,1212
29,-2.1772416,1216
30,-2.11827464,1220
31,-2.0547717599999995,1224
32,-2.02755624,1228
33,-1.9867329599999999,1232
34,-1.90962232,1236
35,-1.8914786399999999,1240
36,-1.81890392,1244
37,-1.76447288,1248
38,-1.71911368,1252
39,-1.6828263200000002,1256
40,-1.6329312,1260
41,-1.57850016,1264
42,-1.5648924,1268
43,-1.5195332,1272
44,-1.47870992,1276
45,-1.44242256,1280
46,-1.4015992800000001,1284
47,-1.36984784,1288
48,-1.3244886400000002,1292
49,-1.28366536,1296
50,-1.23830616,1300
51,-1.1929469600000002,1304
52,-1.16573144,1308
53,-1.12490816,1312
54,-1.0886208000000002,1316
55,-1.0523334400000002,1320
56,-1.0160460800000002,1324
57,-0.9842946400000001,1328
58,-0.9525432,1332
59,-0.91625584,1336
60,-0.8845044,1340
61,-0.84821704,1344
62,-0.80739376,1348
63,-0.7665704799999999,1352
64,-0.7393549599999999,1356
65,-0.7030676,1360
66,-0.680388,1364
67,-0.6486365599999999,1368
68,-0.62142104,1372
69,-0.58513368,1376
70,-0.54884632,1380
71,-0.5170948799999999,1384
72,-0.48987936000000004,1388
73,-0.46266384,1392
74,-0.42637647999999995,1396
75,-0.39916096,1400
76,-0.37194543999999996,1404
77,-0.34926584,1408
78,-0.3175144,1412
79,-0.28576296,1416
80,-0.25854743999999996,1420
81,-0.23586784,1424
82,-0.20865231999999997,1428
83,-0.18597272,1432
84,-0.16329311999999999,1436
85,-0.14514943999999996,1440
86,-0.12246984000000001,1444
87,-0.09979024,1448
88,-0.08164655999999999,1452
89,-0.0680388,1456
90,-0.0453592,1460
91,-0.031751440000000006,1464
92,0.0,1468
93,0.0,1472
94,0.0,1476
95,0.0,1480
96,0.0,1484
97,0.0,1488
98,0.0,1492
99,0.0,1496
100,0.0,1500
101,0.0,1504
102,0.0,1508
103,0.0,1512
104,0.0,1516
105,0.0,1520
106,0.0,1524
107,0.0,1528
108,0.0,1532
109,0.045359199999999995,1536
110,0.06350288000000001,1540
111,0.08164656,1544
112,0.09979024,1548
113,0.12246983999999998,1552
114,0.14514944,1556
115,0.17690087999999998,1560
116,0.19958048,1564
117,0.226796,1568
118,0.26308336,1572
119,0.29029888,1576
120,0.32658623999999997,1580
121,0.36287359999999996,1584
122,0.39462504,1588
123,0.42637647999999995,1592
124,0.46266384,1596
125,0.49895120000000004,1600
126,0.53070264,1604
127,0.57606184,1608
128,0.62142104,1612
129,0.64410064,1616
130,0.68945984,1620
131,0.7257472,1624
132,0.7665704799999999,1628
133,0.8255374400000001,1632
134,0.84821704,1636
135,0.88904032,1640
136,0.9207917599999998,1644
137,0.9661509599999999,1648
138,0.9979024000000001,1652
139,1.05233344,1656
140,1.09315672,1660
141,1.14305184,1664
142,1.2020188,1668
143,1.2337702400000001,1672
144,1.27912944,1676
145,1.32448864,1680
146,1.36531192,1684
147,1.4061352,1688
148,1.4605662400000001,1692
149,1.51046136,1696
150,1.55128464,1700
151,1.60571568,1704
152,1.6510748800000001,1708
153,1.71004184,1712
154,1.7599369599999999,1716
155,1.8143679999999998,1720
156,1.85065536,1724
157,1.9096223200000004,1728
158,1.96405336,1732
159,2.0048766400000004,1736
160,2.0865232000000002,1740
161,2.1182746400000005,1744
162,2.1590979200000002,1748
163,2.2452804,1752
164,2.26796,1756
165,2.34053472,1760
166,2.4267172,1764
167,2.50382784,1768
168,2.5627948000000003,1772
169,2.6353695200000002,1776
170,2.6580491200000003,1780
171,2.75783936,1784
172,2.78051896,1788
173,2.8803092,1792
174,2.9347402400000004,1796
175,2.9937072000000002,1800
176,3.04813824,1804
177,3.1297848,1808
178,3.18875176,1812
179,3.23411096,1816
180,3.32482936,1820
181,3.36111672,1824
182,3.42008368,1828
183,3.4926584,1832
184,3.5652331200000003,1836
185,3.62420008,1840
186,3.68770296,1844
187,3.76934952,1848
188,3.8373883200000005,1852
189,3.9235708000000002,1856
190,3.9825377600000005,1860
191,4.0278969600000005,1864
192,4.10954352,1868
193,4.15490272,1872
194,4.21386968,1876
195,4.30458808,1880
196,4.38169872,1884
197,4.422522,1888
198,4.5087044800000005,1892
199,4.52684816,1896
200,4.5238242133333335,1900
