, Force (Kg f), PWM (µs)
0,-4.59035104,1100
1,-4.54499184,1104
2,-4.5313840800000005,1108
3,-4.47695304,1112
4,-4.41798608,1116
5,-4.34994728,1120
6,-4.34541136,1124
7,-4.16851048,1128
8,-4.18211824,1132
9,-4.1050075999999995,1136
10,-4.0369688,1140
11,-3.9916095999999994,1144
12,-3.9144989599999995,1148
13,-3.8600679199999997,1152
14,-3.8101728,1156
15,-3.7149184799999997,1160
16,-3.6831670399999994,1164
17,-3.55616128,1168
18,-3.54255352,1172
19,-3.4246195999999998,1176
20,-3.3565807999999997,1180
21,-3.2658624,1184
22,-3.19328768,1188
23,-3.0934974399999997,1192
24,-3.02999456,1196
25,-2.9574198399999996,1200
26,-2.8803091999999997,1204
27,-2.84402184,1208
28,-2.77598304,1212
29,-2.6988724,1216
30,-2.65804912,1220
31,-2.5854744,1224
32,-2.5265074399999996,1228
33,-2.47661232,1232
34,-2.4221812799999998,1236
35,-2.36321432,1240
36,-2.31785512,1244
37,-2.25435224,1248
38,-2.20899304,1252
39,-2.15909792,1256
40,-2.1092028,1260
41,-2.041164,1264
42,-1.9958047999999997,1268
43,-1.9413737599999996,1272
44,-1.8824067999999998,1276
45,-1.814368,1280
46,-1.7599369599999999,1284
47,-1.7191136799999998,1288
48,-1.6601467199999997,1292
49,-1.6102516,1296
50,-1.5648924,1300
51,-1.5195332,1304
52,-1.46510216,1308
53,-1.42427888,1312
54,-1.3789196799999999,1316
55,-1.32902456,1320
56,-1.2745935199999998,1324
57,-1.2246983999999999,1328
58,-1.17480328,1332
59,-1.13398,1336
60,-1.0840848799999998,1340
61,-1.0477975199999998,1344
62,-1.01151016,1348
63,-0.9706868799999998,1352
64,-0.9343995199999998,1356
65,-0.89357624,1360
66,-0.8572888799999999,1364
67,-0.81192968,1368
68,-0.7711064,1372
69,-0.73935496,1376
70,-0.69853168,1380
71,-0.6713161599999999,1384
72,-0.6350288,1388
73,-0.5987414400000001,1392
74,-0.5579181599999999,1396
75,-0.53070264,1400
76,-0.49441528,1404
77,-0.46266384,1408
78,-0.4309124,1412
79,-0.39916096,1416
80,-0.36740952000000004,1420
81,-0.33565807999999997,1424
82,-0.30390664,1428
83,-0.2721552,1432
84,-0.24040376000000002,1436
85,-0.20865232,1440
86,-0.1814368,1444
87,-0.15422128000000002,1448
88,-0.12700576000000002,1452
89,-0.10432616,1456
90,-0.07711064000000001,1460
91,-0.05896696,1464
92,-0.045359199999999995,1468
93,0.0,1472
94,0.0,1476
95,0.0,1480
96,0.0,1484
97,0.0,1488
98,0.0,1492
99,0.0,1496
100,0.0,1500
101,0.0,1504
102,0.0,1508
103,0.0,1512
104,0.0,1516
105,0.0,1520
106,0.0,1524
107,0.0,1528
108,0.045359199999999995,1532
109,0.06803880000000001,1536
110,0.0907184,1540
111,0.12246984000000001,1544
112,0.14968536000000002,1548
113,0.1814368,1552
114,0.21318824,1556
115,0.24947560000000002,1560
116,0.28576296,1564
117,0.3175144,1568
118,0.35833768,1572
119,0.39008912,1576
120,0.42637648,1580
121,0.47173568,1584
122,0.5080230400000001,1588
123,0.54884632,1592
124,0.58513368,1596
125,0.62595696,1600
126,0.66678024,1604
127,0.69853168,1608
128,0.75749864,1612
129,0.80285784,1616
130,0.8391452,1620
131,0.8799684799999999,1624
132,0.9162558399999998,1628
133,0.9661509599999999,1632
134,1.01604608,1636
135,1.0750130399999998,1640
136,1.13398,1644
137,1.1793391999999998,1648
138,1.2246983999999999,1652
139,1.27912944,1656
140,1.3199527199999999,1660
141,1.3834556,1664
142,1.42427888,1668
143,1.4877817599999998,1672
144,1.5376768799999998,1676
145,1.5966438399999998,1680
146,1.6782903999999998,1684
147,1.74179328,1688
148,1.78715248,1692
149,1.8415835199999997,1696
150,1.9186941599999998,1700
151,1.9731252,1704
152,2.0366280800000003,1708
153,2.08198728,1712
154,2.17270568,1716
155,2.21806488,1720
156,2.2815677599999997,1724
157,2.36321432,1728
158,2.4312531199999996,1732
159,2.5038278399999996,1736
160,2.5854744,1740
161,2.64444136,1744
162,2.7442316,1748
163,2.79412672,1752
164,2.8667014399999995,1756
165,2.9256684,1760
166,3.01185088,1764
167,3.10256928,1768
168,3.1479284799999996,1772
169,3.20689544,1776
170,3.2658624,1780
171,3.39286816,1784
172,3.45637104,1788
173,3.5380176,1792
174,3.628736,1796
175,3.7239903199999995,1800
176,3.7920291199999996,1804
177,3.9235708000000002,1808
178,4.01882512,1812
179,4.14129496,1816
180,4.20933376,1820
181,4.31819584,1824
182,4.4089142400000005,1828
183,4.53592,1832
184,4.66746168,1836
185,4.6946772,1840
186,4.86250624,1844
187,4.91693728,1848
188,5.01672752,1852
189,5.121053679999999,1856
190,5.20723616,1860
191,5.29341864,1864
192,5.38413704,1868
193,5.49753504,1872
194,5.59732528,1876
195,5.66536408,1880
196,5.76969024,1884
197,5.82412128,1888
198,5.896696,1892
199,5.98287848,1896
200,6.016141893333334,1900
