, Force (Kg f), Current (A)
0,-4.59035104,28.215
1,-4.54499184,27.91
2,-4.5313840800000005,27.31
3,-4.47695304,26.62
4,-4.41798608,26.04
5,-4.34994728,25.38
6,-4.34541136,24.8
7,-4.16851048,24.03
8,-4.18211824,23.53
9,-4.1050075999999995,22.78
10,-4.0369688,22.21
11,-3.9916095999999994,21.5
12,-3.9144989599999995,20.61
13,-3.8600679199999997,20.17
14,-3.8101728,19.51
15,-3.7149184799999997,18.85
16,-3.6831670399999994,18.23
17,-3.55616128,17.57
18,-3.54255352,17.12
19,-3.4246195999999998,16.34
20,-3.3565807999999997,15.8
21,-3.2658624,15.19
22,-3.19328768,14.69
23,-3.0934974399999997,14.16
24,-3.02999456,13.68
25,-2.9574198399999996,13.27
26,-2.8803091999999997,12.83
27,-2.84402184,12.36
28,-2.77598304,11.99
29,-2.6988724,11.58
30,-2.65804912,11.32
31,-2.5854744,11.0
32,-2.5265074399999996,10.65
33,-2.47661232,10.27
34,-2.4221812799999998,9.97
35,-2.36321432,9.55
36,-2.31785512,9.2
37,-2.25435224,8.87
38,-2.20899304,8.54
39,-2.15909792,8.19
40,-2.1092028,7.77
41,-2.041164,7.39
42,-1.9958047999999997,7.0
43,-1.9413737599999996,6.65
44,-1.8824067999999998,6.3
45,-1.814368,6.0
46,-1.7599369599999999,5.75
47,-1.7191136799999998,5.5
48,-1.6601467199999997,5.23
49,-1.6102516,5.0
50,-1.5648924,4.79
51,-1.5195332,4.59
52,-1.46510216,4.3
53,-1.42427888,4.1
54,-1.3789196799999999,3.9
55,-1.32902456,3.68
56,-1.2745935199999998,3.4
57,-1.2246983999999999,3.3
58,-1.17480328,3.1
59,-1.13398,2.9
60,-1.0840848799999998,2.73
61,-1.0477975199999998,2.5
62,-1.01151016,2.3
63,-0.9706868799999998,2.14
64,-0.9343995199999998,2.0
65,-0.89357624,1.9
66,-0.8572888799999999,1.76
67,-0.81192968,1.6
68,-0.7711064,1.5
69,-0.73935496,1.4
70,-0.69853168,1.3
71,-0.6713161599999999,1.2
72,-0.6350288,1.1
73,-0.5987414400000001,1.0
74,-0.5579181599999999,0.8
75,-0.53070264,0.8
76,-0.49441528,0.7
77,-0.46266384,0.63
78,-0.4309124,0.53
79,-0.39916096,0.5
80,-0.36740952000000004,0.4
81,-0.33565807999999997,0.4
82,-0.30390664,0.3
83,-0.2721552,0.3
84,-0.24040376000000002,0.2
85,-0.20865232,0.2
86,-0.1814368,0.2
87,-0.15422128000000002,0.1
88,-0.12700576000000002,0.1
89,-0.10432616,0.1
90,-0.07711064000000001,0.05
91,-0.05896696,0.05
92,-0.045359199999999995,0.05
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.045359199999999995,0.05
109,0.06803880000000001,0.05
110,0.0907184,0.05
111,0.12246984000000001,0.1
112,0.14968536000000002,0.1
113,0.1814368,0.1
114,0.21318824,0.2
115,0.24947560000000002,0.2
116,0.28576296,0.2
117,0.3175144,0.3
118,0.35833768,0.3
119,0.39008912,0.4
120,0.42637648,0.4
121,0.47173568,0.5
122,0.5080230400000001,0.5
123,0.54884632,0.6
124,0.58513368,0.7
125,0.62595696,0.8
126,0.66678024,0.88
127,0.69853168,1.0
128,0.75749864,1.0
129,0.80285784,1.2
130,0.8391452,1.3
131,0.8799684799999999,1.38
132,0.9162558399999998,1.5
133,0.9661509599999999,1.6
134,1.01604608,1.7
135,1.0750130399999998,1.83
136,1.13398,2.0
137,1.1793391999999998,2.1
138,1.2246983999999999,2.3
139,1.27912944,2.47
140,1.3199527199999999,2.7
141,1.3834556,2.9
142,1.42427888,3.07
143,1.4877817599999998,3.24
144,1.5376768799999998,3.4
145,1.5966438399999998,3.6
146,1.6782903999999998,3.8
147,1.74179328,4.07
148,1.78715248,4.29
149,1.8415835199999997,4.52
150,1.9186941599999998,4.72
151,1.9731252,4.98
152,2.0366280800000003,5.2
153,2.08198728,5.47
154,2.17270568,5.7
155,2.21806488,5.97
156,2.2815677599999997,6.25
157,2.36321432,6.55
158,2.4312531199999996,6.87
159,2.5038278399999996,7.28
160,2.5854744,7.64
161,2.64444136,8.0
162,2.7442316,8.4
163,2.79412672,8.8
164,2.8667014399999995,9.15
165,2.9256684,9.48
166,3.01185088,9.9
167,3.10256928,10.2
168,3.1479284799999996,10.53
169,3.20689544,10.81
170,3.2658624,11.18
171,3.39286816,11.58
172,3.45637104,11.88
173,3.5380176,12.29
174,3.628736,12.59
175,3.7239903199999995,13.12
176,3.7920291199999996,13.5
177,3.9235708000000002,14.04
178,4.01882512,14.49
179,4.14129496,15.09
180,4.20933376,15.55
181,4.31819584,16.14
182,4.4089142400000005,16.66
183,4.53592,17.32
184,4.66746168,17.89
185,4.6946772,18.45
186,4.86250624,19.27
187,4.91693728,19.72
188,5.01672752,20.38
189,5.121053679999999,21.03
190,5.20723616,21.6
191,5.29341864,22.29
192,5.38413704,22.87
193,5.49753504,23.55
194,5.59732528,24.23
195,5.66536408,24.77
196,5.76969024,25.48
197,5.82412128,26.04
198,5.896696,26.74
199,5.98287848,27.22
200,6.016141893333334,27.570000000000004
